order_id,customer_id,product_id,store_id,payment_id,order_timestamp,quantity,unit_price,discount,tax,shipping_cost,total_amount,order_status,delivery_days,channel
ORD0000001,CUST00371,PROD00204,STORE040,PAY0000001,2025-10-26 08:41:57,3,692.88,9.36,69.29,8.94,2147.51,Returned,8,In-Store
ORD0000002,CUST00430,PROD00249,STORE045,PAY0000002,2026-04-26 05:46:48,3,370.0,18.25,37.0,11.01,1139.76,Shipped,3,In-Store
ORD0000003,CUST00569,PROD00244,STORE028,PAY0000003,2025-06-29 13:07:04,4,556.57,9.8,55.66,17.0,2289.14,Cancelled,8,Web
ORD0000004,CUST00308,PROD00280,STORE017,PAY0000004,2026-01-05 15:02:07,5,279.23,42.93,27.92,5.72,1386.86,Delivered,3,Web
ORD0000005,CUST00763,PROD00125,STORE022,PAY0000005,2025-09-24 03:10:53,3,967.8,18.05,96.78,13.41,2995.54,Returned,6,Web
ORD0000006,CUST00590,PROD00036,STORE042,PAY0000006,2026-05-02 23:32:02,5,111.17,8.73,11.12,16.7,574.94,Returned,6,In-Store
ORD0000007,CUST00629,PROD00156,STORE019,PAY0000007,2025-12-01 00:38:30,4,140.7,31.59,14.07,7.17,552.45,Cancelled,6,Mobile App
ORD0000008,CUST00234,PROD00268,STORE021,PAY0000008,2025-12-06 12:04:55,3,390.95,32.65,39.09,15.66,1194.95,Shipped,5,Mobile App
ORD0000009,CUST00129,PROD00090,STORE047,PAY0000009,2025-09-26 05:30:08,2,170.52,33.1,17.05,19.11,344.1,Delivered,4,Web
ORD0000010,CUST00056,PROD00242,STORE002,PAY0000010,2025-09-27 06:46:08,4,915.89,26.2,91.59,19.94,3748.89,Delivered,5,In-Store
ORD0000011,CUST00235,PROD00058,STORE016,PAY0000011,2025-06-07 07:15:20,3,553.63,22.16,55.36,6.9,1700.99,Cancelled,1,Web
ORD0000012,CUST00456,PROD00254,STORE009,PAY0000012,2025-05-22 14:49:36,5,371.57,8.85,37.16,13.96,1900.12,Shipped,9,In-Store
ORD0000013,CUST00453,PROD00068,STORE020,PAY0000013,2025-10-15 04:57:33,3,345.1,20.61,34.51,7.34,1056.54,Delivered,1,In-Store
ORD0000014,CUST00945,PROD00298,STORE032,PAY0000014,2026-04-29 13:36:52,4,482.24,14.98,48.22,16.49,1978.69,Returned,10,Web
ORD0000015,CUST00256,PROD00078,STORE011,PAY0000015,2025-09-21 08:05:45,4,157.83,41.42,15.78,8.31,613.99,Delivered,7,In-Store
ORD0000016,CUST00193,PROD00273,STORE005,PAY0000016,2025-09-04 01:50:29,2,725.85,6.83,72.59,6.66,1524.12,Shipped,10,Mobile App
ORD0000017,CUST00051,PROD00035,STORE035,PAY0000017,2025-07-17 18:48:30,1,983.45,9.3,98.35,6.53,1079.03,Returned,3,In-Store
ORD0000018,CUST00506,PROD00167,STORE014,PAY0000018,2026-03-21 04:56:20,3,119.26,21.01,11.93,16.79,365.49,Shipped,6,Mobile App
ORD0000019,CUST00273,PROD00245,STORE050,PAY0000019,2025-10-25 02:11:21,4,653.01,3.57,65.3,12.05,2685.82,Cancelled,5,Mobile App
ORD0000020,CUST00254,PROD00202,STORE048,PAY0000020,2025-08-08 09:49:35,1,706.01,9.96,70.6,16.03,782.68,Delivered,9,In-Store
ORD0000021,CUST00163,PROD00141,STORE041,PAY0000021,2026-05-03 10:46:08,1,474.49,37.24,47.45,13.24,497.94,Delivered,5,Mobile App
ORD0000022,CUST00224,PROD00181,STORE008,PAY0000022,2025-12-06 07:38:12,2,682.77,31.65,68.28,9.87,1412.04,Cancelled,5,In-Store
ORD0000023,CUST00803,PROD00104,STORE045,PAY0000023,2026-02-14 04:05:38,4,85.67,34.42,8.57,7.32,324.15,Delivered,4,Web
ORD0000024,CUST00062,PROD00259,STORE004,PAY0000024,2025-09-11 12:09:49,3,165.66,32.23,16.57,15.52,496.84,Delivered,3,Mobile App
ORD0000025,CUST00751,PROD00260,STORE013,PAY0000025,2026-03-29 08:54:52,1,151.2,34.46,15.12,10.37,142.23,Cancelled,5,Web
ORD0000026,CUST00581,PROD00189,STORE012,PAY0000026,2026-03-03 14:52:55,5,73.19,17.38,7.32,15.99,371.88,Returned,10,In-Store
ORD0000027,CUST00840,PROD00038,STORE017,PAY0000027,2025-08-17 22:10:43,5,644.47,18.36,64.45,5.01,3273.45,Shipped,3,Web
ORD0000028,CUST00065,PROD00087,STORE043,PAY0000028,2025-11-03 09:34:17,5,891.96,40.95,89.2,7.85,4515.9,Shipped,9,Web
ORD0000029,CUST00099,PROD00143,STORE034,PAY0000029,2025-11-10 12:00:13,1,312.39,2.19,31.24,19.07,360.51,Cancelled,1,Web
ORD0000030,CUST00658,PROD00094,STORE025,PAY0000030,2026-01-21 06:00:02,4,201.18,26.29,20.12,15.52,814.07,Returned,1,Mobile App
ORD0000031,CUST00504,PROD00196,STORE006,PAY0000031,2025-07-16 01:15:19,4,461.49,40.05,46.15,5.91,1857.97,Shipped,6,In-Store
ORD0000032,CUST00080,PROD00038,STORE014,PAY0000032,2025-05-10 11:05:17,5,644.47,4.86,64.45,15.88,3297.82,Shipped,4,Web
ORD0000033,CUST00768,PROD00265,STORE036,PAY0000033,2025-05-13 04:25:56,4,527.53,37.31,52.75,16.49,2142.05,Returned,8,In-Store
ORD0000034,CUST00412,PROD00189,STORE033,PAY0000034,2025-06-20 03:28:59,3,73.19,32.88,7.32,13.01,207.02,Shipped,6,Mobile App
ORD0000035,CUST00332,PROD00042,STORE039,PAY0000035,2025-08-18 18:33:56,2,476.73,28.16,47.67,8.21,981.18,Returned,6,Mobile App
ORD0000036,CUST00611,PROD00028,STORE002,PAY0000036,2025-12-30 05:42:54,5,679.86,6.75,67.99,18.35,3478.89,Delivered,5,Web
ORD0000037,CUST00524,PROD00081,STORE036,PAY0000037,2026-05-01 10:05:44,5,67.18,46.3,6.72,7.32,303.64,Delivered,8,Mobile App
ORD0000038,CUST00263,PROD00162,STORE020,PAY0000038,2025-07-17 11:43:26,1,135.38,28.52,13.54,13.54,133.94,Cancelled,2,In-Store
ORD0000039,CUST00658,PROD00172,STORE020,PAY0000039,2025-05-29 08:03:11,1,412.25,36.54,41.23,13.64,430.58,Delivered,1,Mobile App
ORD0000040,CUST00766,PROD00264,STORE042,PAY0000040,2025-07-08 16:39:20,5,497.89,46.43,49.79,14.51,2507.32,Shipped,1,Mobile App
ORD0000041,CUST00515,PROD00042,STORE045,PAY0000041,2025-09-24 16:39:01,2,476.73,7.66,47.67,15.1,1008.57,Shipped,8,In-Store
ORD0000042,CUST00152,PROD00193,STORE009,PAY0000042,2026-02-23 22:15:33,3,747.66,4.13,74.77,13.57,2327.19,Delivered,9,Mobile App
ORD0000043,CUST00134,PROD00193,STORE049,PAY0000043,2025-06-13 14:56:41,2,747.66,24.05,74.77,7.97,1554.01,Shipped,10,Web
ORD0000044,CUST00332,PROD00087,STORE044,PAY0000044,2025-06-09 18:55:10,5,891.96,4.48,89.2,15.08,4559.6,Shipped,6,Mobile App
ORD0000045,CUST00174,PROD00141,STORE023,PAY0000045,2025-11-27 06:55:54,5,474.49,41.08,47.45,17.04,2395.86,Cancelled,8,Web
ORD0000046,CUST00874,PROD00290,STORE006,PAY0000046,2025-08-09 11:56:25,1,529.37,36.98,52.94,8.65,553.98,Cancelled,5,Web
ORD0000047,CUST00340,PROD00284,STORE014,PAY0000047,2025-11-19 18:41:53,5,111.33,10.59,11.13,13.2,570.39,Returned,9,Mobile App
ORD0000048,CUST00597,PROD00010,STORE043,PAY0000048,2025-11-01 14:09:32,5,774.96,2.17,77.5,7.55,3957.68,Returned,4,In-Store
ORD0000049,CUST00398,PROD00192,STORE043,PAY0000049,2025-11-07 03:47:16,3,708.05,33.15,70.8,18.69,2180.49,Returned,2,Web
ORD0000050,CUST00497,PROD00080,STORE039,PAY0000050,2025-10-31 09:50:20,5,225.49,4.4,22.55,7.98,1153.58,Shipped,9,In-Store
ORD0000051,CUST00502,PROD00254,STORE026,PAY0000051,2026-02-06 09:45:12,2,371.57,0.92,37.16,15.26,794.64,Returned,5,Web
ORD0000052,CUST00912,PROD00040,STORE002,PAY0000052,2025-12-13 23:44:25,5,740.65,47.46,74.06,8.38,3738.23,Returned,7,In-Store
ORD0000053,CUST00247,PROD00057,STORE037,PAY0000053,2025-09-04 13:45:43,2,806.12,21.32,80.61,9.69,1681.22,Returned,8,In-Store
ORD0000054,CUST00317,PROD00033,STORE045,PAY0000054,2026-01-12 23:11:00,5,550.71,45.48,55.07,11.45,2774.59,Cancelled,10,Web
ORD0000055,CUST00326,PROD00123,STORE010,PAY0000055,2026-02-25 02:22:57,1,68.66,38.27,6.87,18.2,55.46,Shipped,7,Mobile App
ORD0000056,CUST00135,PROD00290,STORE012,PAY0000056,2025-05-18 01:26:14,1,529.37,38.12,52.94,14.18,558.37,Returned,10,In-Store
ORD0000057,CUST00027,PROD00108,STORE023,PAY0000057,2025-09-23 14:22:52,1,870.13,34.41,87.01,12.15,934.88,Shipped,6,Web
ORD0000058,CUST00232,PROD00247,STORE003,PAY0000058,2025-10-08 20:26:53,4,933.72,38.23,93.37,5.23,3795.25,Returned,7,Web
ORD0000059,CUST00502,PROD00206,STORE045,PAY0000059,2025-12-29 15:04:25,3,579.23,43.34,57.92,18.31,1770.58,Shipped,7,Web
ORD0000060,CUST00962,PROD00234,STORE048,PAY0000060,2026-01-20 14:32:35,5,105.77,29.69,10.58,12.88,522.62,Delivered,9,Web
ORD0000061,CUST00551,PROD00197,STORE026,PAY0000061,2025-12-17 23:02:14,1,24.25,27.89,2.43,12.74,11.53,Delivered,4,Mobile App
ORD0000062,CUST00171,PROD00049,STORE028,PAY0000062,2025-12-27 03:47:04,3,938.82,30.66,93.88,5.82,2885.5,Cancelled,8,In-Store
ORD0000063,CUST00798,PROD00052,STORE038,PAY0000063,2025-10-20 04:39:12,5,582.41,6.77,58.24,11.2,2974.72,Shipped,1,Web
ORD0000064,CUST00709,PROD00114,STORE042,PAY0000064,2026-01-10 07:26:03,2,748.85,35.92,74.89,6.85,1543.52,Delivered,8,In-Store
ORD0000065,CUST00811,PROD00273,STORE033,PAY0000065,2025-11-04 09:40:20,5,725.85,47.49,72.59,10.68,3665.03,Shipped,1,Web
ORD0000066,CUST00788,PROD00229,STORE046,PAY0000066,2026-04-21 11:45:55,1,456.65,20.98,45.66,9.64,490.97,Shipped,5,In-Store
ORD0000067,CUST00784,PROD00133,STORE017,PAY0000067,2026-02-05 08:24:44,1,809.32,22.93,80.93,17.83,885.15,Delivered,10,Mobile App
ORD0000068,CUST00420,PROD00020,STORE029,PAY0000068,2025-10-17 07:20:41,1,754.78,30.06,75.48,5.1,805.3,Returned,10,In-Store
ORD0000069,CUST00669,PROD00104,STORE023,PAY0000069,2025-09-01 11:42:29,1,85.67,7.27,8.57,5.49,92.46,Returned,6,Web
ORD0000070,CUST00292,PROD00048,STORE040,PAY0000070,2025-05-25 08:06:35,5,833.76,28.61,83.38,13.43,4237.0,Shipped,10,Mobile App
ORD0000071,CUST00840,PROD00237,STORE005,PAY0000071,2025-07-23 22:42:46,4,725.88,42.17,72.59,5.97,2939.91,Shipped,3,Web
ORD0000072,CUST00215,PROD00275,STORE040,PAY0000072,2026-03-13 11:34:40,1,177.91,5.47,17.79,15.95,206.18,Delivered,8,In-Store
ORD0000073,CUST00539,PROD00079,STORE037,PAY0000073,2026-03-12 07:55:09,5,887.61,17.69,88.76,6.95,4516.07,Shipped,9,In-Store
ORD0000074,CUST00298,PROD00181,STORE013,PAY0000074,2025-08-08 04:35:25,1,682.77,5.91,68.28,11.97,757.11,Delivered,4,In-Store
ORD0000075,CUST00826,PROD00095,STORE041,PAY0000075,2025-07-23 08:04:57,2,450.95,0.56,45.09,8.02,954.45,Returned,5,Web
ORD0000076,CUST00117,PROD00130,STORE044,PAY0000076,2026-01-10 16:09:17,3,616.87,17.07,61.69,15.87,1911.1,Delivered,3,Web
ORD0000077,CUST00662,PROD00081,STORE009,PAY0000077,2025-09-13 17:09:48,4,67.18,7.77,6.72,11.91,279.58,Returned,8,Mobile App
ORD0000078,CUST00549,PROD00263,STORE002,PAY0000078,2025-09-14 00:16:06,2,968.38,28.87,96.84,9.98,2014.71,Returned,2,Web
ORD0000079,CUST00621,PROD00219,STORE025,PAY0000079,2025-06-04 09:16:53,2,25.53,29.76,2.55,17.97,41.82,Returned,6,In-Store
ORD0000080,CUST00381,PROD00191,STORE029,PAY0000080,2026-04-07 03:24:47,3,665.73,10.81,66.57,9.53,2062.48,Delivered,6,Web
ORD0000081,CUST00927,PROD00167,STORE033,PAY0000081,2025-09-21 12:51:33,2,119.26,9.51,11.93,18.85,259.79,Returned,6,Web
ORD0000082,CUST00397,PROD00272,STORE046,PAY0000082,2025-08-01 08:52:06,5,609.98,5.79,61.0,9.66,3114.77,Delivered,10,Web
ORD0000083,CUST00592,PROD00184,STORE049,PAY0000083,2025-08-29 10:51:42,3,238.25,31.94,23.83,8.15,714.79,Cancelled,4,Mobile App
ORD0000084,CUST00153,PROD00227,STORE011,PAY0000084,2026-05-01 02:29:09,3,688.9,5.72,68.89,19.37,2149.24,Delivered,4,In-Store
ORD0000085,CUST00251,PROD00271,STORE011,PAY0000085,2025-11-17 01:40:26,1,95.55,15.57,9.55,18.38,107.91,Shipped,1,Web
ORD0000086,CUST00056,PROD00261,STORE006,PAY0000086,2025-08-31 07:14:46,4,669.42,19.6,66.94,15.57,2740.59,Shipped,10,Mobile App
ORD0000087,CUST00582,PROD00071,STORE009,PAY0000087,2025-07-06 16:12:09,1,386.12,40.64,38.61,18.8,402.89,Shipped,2,Mobile App
ORD0000088,CUST00882,PROD00154,STORE040,PAY0000088,2025-11-29 02:48:13,3,500.38,45.64,50.04,10.88,1516.42,Returned,6,Mobile App
ORD0000089,CUST00491,PROD00250,STORE030,PAY0000089,2025-10-20 01:16:13,2,902.12,14.11,90.21,10.23,1890.57,Cancelled,9,Web
ORD0000090,CUST00546,PROD00051,STORE030,PAY0000090,2026-03-01 11:44:59,4,832.77,29.53,83.28,8.58,3393.41,Cancelled,9,Web
ORD0000091,CUST00606,PROD00210,STORE028,PAY0000091,2025-06-09 18:40:43,4,51.66,28.36,5.17,10.13,193.58,Cancelled,3,In-Store
ORD0000092,CUST00569,PROD00272,STORE007,PAY0000092,2025-06-13 09:06:41,4,609.98,8.81,61.0,19.34,2511.45,Delivered,10,Web
ORD0000093,CUST00223,PROD00042,STORE009,PAY0000093,2026-02-03 22:43:51,5,476.73,45.16,47.67,14.54,2400.7,Delivered,3,In-Store
ORD0000094,CUST00592,PROD00056,STORE029,PAY0000094,2025-07-07 00:25:48,2,154.49,10.28,15.45,18.16,332.31,Returned,10,In-Store
ORD0000095,CUST00597,PROD00168,STORE001,PAY0000095,2025-07-02 13:58:14,5,69.08,49.32,6.91,11.06,314.05,Cancelled,5,Web
ORD0000096,CUST00882,PROD00016,STORE019,PAY0000096,2025-07-25 03:28:55,1,735.36,11.76,73.54,15.53,812.67,Shipped,6,In-Store
ORD0000097,CUST00178,PROD00255,STORE031,PAY0000097,2026-03-31 20:58:56,2,100.33,9.41,10.03,10.77,212.05,Returned,7,Web
ORD0000098,CUST00017,PROD00248,STORE010,PAY0000098,2026-04-19 11:47:42,4,86.02,32.9,8.6,19.62,339.4,Cancelled,2,Web
ORD0000099,CUST00185,PROD00185,STORE030,PAY0000099,2025-11-10 22:07:51,5,805.24,21.21,80.52,17.3,4102.81,Shipped,6,Web
ORD0000100,CUST00243,PROD00062,STORE046,PAY0000100,2026-01-23 15:51:41,5,281.2,13.46,28.12,18.9,1439.56,Returned,1,Web
ORD0000101,CUST00494,PROD00136,STORE045,PAY0000101,2026-05-01 00:30:45,1,719.1,7.1,71.91,15.97,799.88,Returned,8,In-Store
ORD0000102,CUST00649,PROD00057,STORE035,PAY0000102,2025-10-18 00:10:43,5,806.12,15.62,80.61,5.79,4101.38,Returned,9,Web
ORD0000103,CUST00752,PROD00014,STORE022,PAY0000103,2025-06-20 13:22:34,4,219.13,17.65,21.91,19.67,900.45,Returned,5,Web
ORD0000104,CUST00645,PROD00225,STORE031,PAY0000104,2025-06-05 00:09:03,5,570.11,8.45,57.01,5.77,2904.88,Returned,10,Web
ORD0000105,CUST00259,PROD00268,STORE009,PAY0000105,2026-03-23 13:08:40,5,390.95,14.05,39.09,17.87,1997.66,Delivered,2,In-Store
ORD0000106,CUST00268,PROD00066,STORE045,PAY0000106,2025-06-06 05:05:42,2,814.19,24.25,81.42,16.99,1702.54,Delivered,6,Web
ORD0000107,CUST00244,PROD00294,STORE043,PAY0000107,2026-02-21 22:38:50,4,988.74,36.3,98.87,7.51,4025.04,Returned,1,In-Store
ORD0000108,CUST00488,PROD00125,STORE020,PAY0000108,2025-09-06 12:45:35,4,967.8,37.31,96.78,16.29,3946.96,Cancelled,7,In-Store
ORD0000109,CUST00296,PROD00251,STORE029,PAY0000109,2025-06-01 20:30:33,4,699.59,33.92,69.96,19.43,2853.83,Delivered,2,In-Store
ORD0000110,CUST00277,PROD00262,STORE018,PAY0000110,2025-11-01 22:07:22,1,523.85,12.77,52.39,13.76,577.23,Shipped,4,In-Store
ORD0000111,CUST00561,PROD00045,STORE001,PAY0000111,2026-03-10 05:25:00,1,263.25,41.58,26.33,5.18,253.18,Delivered,9,Web
ORD0000112,CUST00198,PROD00220,STORE003,PAY0000112,2025-05-20 02:45:11,1,336.18,30.97,33.62,5.85,344.68,Cancelled,10,In-Store
ORD0000113,CUST00673,PROD00094,STORE049,PAY0000113,2025-12-04 19:43:05,5,201.18,40.16,20.12,7.77,993.63,Delivered,3,Mobile App
ORD0000114,CUST00465,PROD00154,STORE018,PAY0000114,2026-04-20 13:32:05,4,500.38,34.61,50.04,15.01,2031.96,Returned,5,Web
ORD0000115,CUST00062,PROD00252,STORE017,PAY0000115,2025-05-09 14:41:06,3,185.27,8.9,18.53,6.04,571.48,Cancelled,10,Mobile App
ORD0000116,CUST00629,PROD00092,STORE042,PAY0000116,2026-02-28 08:47:07,1,305.98,45.63,30.6,15.73,306.68,Delivered,1,Web
ORD0000117,CUST00669,PROD00192,STORE041,PAY0000117,2025-09-28 00:13:30,1,708.05,46.64,70.8,14.97,747.18,Returned,3,In-Store
ORD0000118,CUST00447,PROD00276,STORE026,PAY0000118,2025-10-31 04:37:26,1,273.09,27.01,27.31,5.05,278.44,Shipped,2,In-Store
ORD0000119,CUST00057,PROD00230,STORE041,PAY0000119,2025-08-27 06:48:54,1,949.25,18.27,94.93,17.8,1043.71,Returned,2,Mobile App
ORD0000120,CUST00677,PROD00283,STORE013,PAY0000120,2025-10-26 10:44:46,3,486.35,34.79,48.64,18.45,1491.35,Returned,8,Web
ORD0000121,CUST00738,PROD00081,STORE038,PAY0000121,2026-01-24 05:27:13,2,67.18,24.46,6.72,5.94,122.56,Returned,8,In-Store
ORD0000122,CUST00807,PROD00014,STORE047,PAY0000122,2025-07-14 22:29:02,1,219.13,20.28,21.91,8.18,228.94,Shipped,9,Web
ORD0000123,CUST00670,PROD00026,STORE002,PAY0000123,2025-07-27 11:42:02,4,719.74,45.36,71.97,14.28,2919.85,Cancelled,3,Web
ORD0000124,CUST00626,PROD00283,STORE011,PAY0000124,2025-06-10 21:13:10,5,486.35,3.2,48.64,17.26,2494.45,Delivered,8,In-Store
ORD0000125,CUST00346,PROD00021,STORE048,PAY0000125,2025-11-04 12:30:57,4,440.74,16.21,44.07,19.64,1810.46,Cancelled,6,Web
ORD0000126,CUST00145,PROD00058,STORE049,PAY0000126,2025-07-03 02:16:52,4,553.63,8.4,55.36,10.55,2272.03,Cancelled,8,Web
ORD0000127,CUST00017,PROD00246,STORE032,PAY0000127,2026-02-08 04:59:34,1,267.69,0.32,26.77,7.69,301.83,Delivered,10,Mobile App
ORD0000128,CUST00656,PROD00094,STORE018,PAY0000128,2025-07-26 07:38:00,5,201.18,22.52,20.12,8.59,1012.09,Cancelled,10,In-Store
ORD0000129,CUST00847,PROD00016,STORE020,PAY0000129,2026-04-08 19:51:42,3,735.36,20.94,73.54,13.37,2272.05,Cancelled,2,In-Store
ORD0000130,CUST00789,PROD00001,STORE041,PAY0000130,2025-09-24 14:51:43,2,228.79,13.82,22.88,7.91,474.55,Cancelled,8,Mobile App
ORD0000131,CUST00661,PROD00279,STORE024,PAY0000131,2026-04-16 13:09:13,3,608.82,10.48,60.88,8.77,1885.63,Shipped,1,Web
ORD0000132,CUST00528,PROD00174,STORE008,PAY0000132,2025-09-26 22:08:24,1,731.88,44.75,73.19,15.82,776.14,Returned,7,Web
ORD0000133,CUST00243,PROD00139,STORE048,PAY0000133,2026-02-04 17:02:22,4,901.6,43.49,90.16,10.63,3663.7,Cancelled,2,Mobile App
ORD0000134,CUST00222,PROD00233,STORE040,PAY0000134,2025-08-24 04:51:12,4,90.68,8.9,9.07,10.6,373.49,Shipped,4,In-Store
ORD0000135,CUST00709,PROD00120,STORE037,PAY0000135,2025-11-08 17:24:18,1,515.02,14.03,51.5,6.67,559.16,Shipped,8,Mobile App
ORD0000136,CUST00161,PROD00293,STORE041,PAY0000136,2025-06-17 17:26:10,5,788.11,45.28,78.81,13.67,3987.75,Cancelled,2,Mobile App
ORD0000137,CUST00286,PROD00104,STORE001,PAY0000137,2025-11-21 22:23:39,4,85.67,36.81,8.57,8.7,323.14,Returned,7,In-Store
ORD0000138,CUST00046,PROD00146,STORE003,PAY0000138,2025-05-14 22:41:34,4,327.15,36.67,32.71,12.56,1317.2,Shipped,9,Mobile App
