payment_id,order_id,payment_method,payment_provider,payment_status,transaction_timestamp,amount_paid,currency,fraud_flag,refund_status
PAY0000001,ORD0000001,UPI,Square,Success,2025-10-26 08:57:57,2147.51,USD,False,No Refund
PAY0000002,ORD0000002,Debit Card,PayPal,Success,2026-04-26 06:10:48,1139.76,USD,False,No Refund
PAY0000003,ORD0000003,Debit Card,Razorpay,Failed,2025-06-29 13:12:04,2289.14,USD,False,Refunded
PAY0000004,ORD0000004,Debit Card,Square,Failed,2026-01-05 15:29:07,1386.86,USD,True,Refunded
PAY0000005,ORD0000005,PayPal,Stripe,Failed,2025-09-24 03:38:53,2995.54,USD,False,Partial Refund
PAY0000006,ORD0000006,Net Banking,Razorpay,Pending,2026-05-02 23:47:02,574.94,USD,True,Refunded
PAY0000007,ORD0000007,Net Banking,Razorpay,Success,2025-12-01 00:41:30,552.45,USD,False,Refunded
PAY0000008,ORD0000008,UPI,Razorpay,Failed,2025-12-06 12:10:55,1194.95,USD,False,No Refund
PAY0000009,ORD0000009,PayPal,Stripe,Success,2025-09-26 05:33:08,344.1,USD,False,Partial Refund
PAY0000010,ORD0000010,Debit Card,Stripe,Pending,2025-09-27 07:16:08,3748.89,USD,False,Refunded
PAY0000011,ORD0000011,UPI,Square,Failed,2025-06-07 07:30:20,1700.99,USD,False,Partial Refund
PAY0000012,ORD0000012,Net Banking,Square,Failed,2025-05-22 15:05:36,1900.12,USD,False,No Refund
PAY0000013,ORD0000013,Debit Card,Square,Failed,2025-10-15 05:13:33,1056.54,USD,True,Partial Refund
PAY0000014,ORD0000014,Credit Card,Square,Success,2026-04-29 13:50:52,1978.69,USD,False,Refunded
PAY0000015,ORD0000015,Debit Card,Square,Failed,2025-09-21 08:26:45,613.99,USD,False,Refunded
PAY0000016,ORD0000016,UPI,Razorpay,Success,2025-09-04 02:01:29,1524.12,USD,True,No Refund
PAY0000017,ORD0000017,PayPal,Stripe,Success,2025-07-17 18:51:30,1079.03,USD,False,No Refund
PAY0000018,ORD0000018,Credit Card,Square,Success,2026-03-21 05:23:20,365.49,USD,False,No Refund
PAY0000019,ORD0000019,Credit Card,Stripe,Pending,2025-10-25 02:19:21,2685.82,USD,False,Refunded
PAY0000020,ORD0000020,Debit Card,Razorpay,Failed,2025-08-08 10:11:35,782.68,USD,False,Refunded
PAY0000021,ORD0000021,UPI,PayPal,Failed,2026-05-03 11:15:08,497.94,USD,True,Partial Refund
PAY0000022,ORD0000022,Credit Card,Razorpay,Success,2025-12-06 07:39:12,1412.04,USD,True,Partial Refund
PAY0000023,ORD0000023,PayPal,Stripe,Pending,2026-02-14 04:25:38,324.15,USD,False,Partial Refund
PAY0000024,ORD0000024,Debit Card,Square,Pending,2025-09-11 12:35:49,496.84,USD,False,Refunded
PAY0000025,ORD0000025,PayPal,Razorpay,Pending,2026-03-29 09:04:52,142.23,USD,False,No Refund
PAY0000026,ORD0000026,Debit Card,Stripe,Pending,2026-03-03 14:57:55,371.88,USD,False,Refunded
PAY0000027,ORD0000027,Net Banking,Square,Pending,2025-08-17 22:18:43,3273.45,USD,False,Partial Refund
PAY0000028,ORD0000028,Net Banking,Square,Failed,2025-11-03 09:48:17,4515.9,USD,False,No Refund
PAY0000029,ORD0000029,Credit Card,Razorpay,Success,2025-11-10 12:04:13,360.51,USD,True,Partial Refund
PAY0000030,ORD0000030,Debit Card,Stripe,Success,2026-01-21 06:30:02,814.07,USD,False,Partial Refund
